activity,event_count,percent
W_Validate application,209496,17.42508111758869
W_Call after offers,191092,15.894306339606759
W_Call incomplete files,168529,14.017601747365601
W_Complete application,148900,12.384936124837495
W_Handle leads,47264,3.931239899290258
O_Create Offer,42995,3.5761607030717806
O_Created,42995,3.5761607030717806
O_Sent (mail and online),39707,3.3026773586898748
A_Validating,38816,3.2285673648199613
A_Accepted,31509,2.6207988741269617
A_Create Application,31509,2.6207988741269617
A_Concept,31509,2.6207988741269617
A_Complete,31362,2.6085719727814203
O_Returned,23305,1.9384213323662716
A_Incomplete,23055,1.917627282458888
O_Cancelled,20898,1.738216219857985
A_Submitted,20423,1.6987075250339565
O_Accepted,17228,1.432959567217598
A_Pending,17228,1.432959567217598
A_Cancelled,10431,0.8676109383356608
O_Refused,4695,0.3905122572606584
A_Denied,3753,0.3121602772096381
W_Assess potential fraud,3282,0.272984287184128
O_Sent (online only),2026,0.16851498044943428
W_Shortened completion ,238,0.019795935511828903
W_Personal Loan collection,22,0.0018298763918497304
