loan_goal,case_count,percent
Car,9328,29.604240058396016
Home improvement,7669,24.33907772382494
Existing loan takeover,5601,17.775873559935256
"Other, see explanation",2985,9.473483766542893
Unknown,2365,7.505791995937669
Not speficied,1065,3.3799866704751027
Remaining debt home,842,2.672252372338062
Extra spending limit,625,1.9835602526262337
Caravan / Camper,369,1.1710939731505283
Motorcycle,275,0.8727665111555429
Boat,201,0.6379129772445968
Tax payments,152,0.4824018534387
Business goal,30,0.09521089212605922
Debt restructuring,2,0.006347392808403947
