case_id,case_start_time,n_events,outcome_activity,outcome_position,target,eligible_k10
Application_1000086665,2016-08-03 15:57:21.673000+00:00,22,A_Cancelled,20,0,True
Application_1000158214,2016-06-02 10:14:26.844000+00:00,25,A_Pending,24,1,True
Application_1000311556,2016-04-04 15:56:37.675000+00:00,18,A_Cancelled,16,0,True
Application_1000334415,2016-09-15 16:39:17.758000+00:00,40,A_Denied,38,0,True
Application_1000339879,2016-03-17 12:57:10.159000+00:00,51,A_Pending,50,1,True
Application_100034150,2016-02-26 08:17:08.702000+00:00,55,A_Pending,54,1,True
Application_1000386745,2016-11-25 14:31:09.852000+00:00,46,A_Pending,45,1,True
Application_1000474975,2016-06-16 15:37:24.412000+00:00,37,A_Pending,36,1,True
Application_1000557783,2016-03-09 19:08:45.338000+00:00,27,A_Pending,26,1,True
Application_1000604502,2016-12-06 21:13:23.869000+00:00,23,A_Cancelled,21,0,True
Application_1000610355,2016-11-30 08:30:06.392000+00:00,54,A_Denied,52,0,True
Application_1000647090,2016-02-28 09:54:37.548000+00:00,33,A_Denied,31,0,True
Application_1000671285,2016-04-13 13:03:47.542000+00:00,44,A_Pending,43,1,True
Application_1000691650,2016-01-17 10:54:30.997000+00:00,37,A_Cancelled,32,0,True
Application_1000806256,2016-06-01 09:03:46.811000+00:00,29,A_Denied,27,0,True
Application_1000856802,2016-09-20 17:00:30.299000+00:00,25,A_Pending,24,1,True
Application_1000867366,2016-07-18 20:09:49.012000+00:00,27,A_Pending,26,1,True
Application_1000956993,2016-09-20 08:37:41.331000+00:00,46,A_Pending,45,1,True
Application_1001114274,2016-12-15 15:00:49.985000+00:00,69,A_Pending,64,1,True
Application_1001177986,2016-06-23 20:11:52.218000+00:00,74,A_Pending,73,1,True
Application_1001274919,2016-05-02 08:26:05.733000+00:00,37,A_Pending,36,1,True
Application_1001484676,2016-12-07 09:19:29.974000+00:00,57,A_Pending,56,1,True
Application_1001624285,2016-04-15 10:10:06.296000+00:00,48,A_Pending,47,1,True
Application_1001854554,2016-08-24 07:28:22.829000+00:00,24,A_Cancelled,22,0,True
Application_1001858108,2016-08-15 08:13:41.345000+00:00,49,A_Pending,48,1,True
Application_1001866944,2016-08-17 11:07:35.380000+00:00,51,A_Pending,50,1,True
Application_1002013470,2016-03-29 16:19:21.219000+00:00,38,A_Denied,36,0,True
Application_1002032547,2016-03-10 10:18:44.920000+00:00,22,A_Cancelled,20,0,True
Application_1002051388,2016-02-24 06:52:17.709000+00:00,34,A_Denied,32,0,True
Application_1002129113,2016-09-09 18:35:15.785000+00:00,53,A_Pending,52,1,True
Application_1002324382,2016-05-30 16:14:44.708000+00:00,26,A_Pending,25,1,True
Application_1002348901,2016-03-15 19:57:05.452000+00:00,21,A_Cancelled,19,0,True
Application_100239804,2016-08-18 10:54:23.870000+00:00,37,A_Pending,36,1,True
Application_1002442935,2016-06-23 20:29:32.748000+00:00,22,A_Cancelled,20,0,True
Application_1002485344,2016-01-16 22:57:37.903000+00:00,80,A_Cancelled,77,0,True
Application_1002567868,2016-12-16 16:15:51.490000+00:00,32,A_Denied,30,0,True
Application_1002602375,2016-12-01 17:35:08.698000+00:00,99,A_Pending,98,1,True
Application_1002626536,2016-08-11 19:19:33.682000+00:00,49,A_Pending,47,1,True
Application_1002664914,2016-02-18 14:47:30.950000+00:00,21,A_Cancelled,19,0,True
Application_1002747267,2016-10-10 08:27:48.557000+00:00,26,A_Denied,24,0,True
Application_1002843616,2016-06-21 11:10:30.456000+00:00,41,A_Pending,40,1,True
Application_1002961837,2016-09-19 11:22:00.198000+00:00,66,A_Pending,62,1,True
