feature,coefficient,abs_coefficient
requested_amount,0.032759451291618134,0.032759451291618134
n_unique_activities,0.31627086464614534,0.31627086464614534
n_unique_resources,0.010669022781198849,0.010669022781198849
prefix_duration_seconds,-0.026002279589509725,0.026002279589509725
mean_event_gap_seconds,-0.026002279589512897,0.026002279589512897
loan_goal_Boat,0.06331519172251365,0.06331519172251365
loan_goal_Business goal,-0.8061644744186892,0.8061644744186892
loan_goal_Car,0.02686943948208277,0.02686943948208277
loan_goal_Caravan / Camper,0.24531170415240722,0.24531170415240722
loan_goal_Debt restructuring,-0.10817257327109972,0.10817257327109972
loan_goal_Existing loan takeover,0.2266227372458669,0.2266227372458669
loan_goal_Extra spending limit,-0.0057680835711943915,0.0057680835711943915
loan_goal_Home improvement,0.2586786877293213,0.2586786877293213
loan_goal_Motorcycle,-0.04047223731913416,0.04047223731913416
loan_goal_Not speficied,-0.26305790994818357,0.26305790994818357
"loan_goal_Other, see explanation",-0.05816093665450041,0.05816093665450041
loan_goal_Remaining debt home,0.5578220723372204,0.5578220723372204
loan_goal_Tax payments,-0.16322392368480226,0.16322392368480226
loan_goal_Unknown,0.06904629827797017,0.06904629827797017
application_type_Limit raise,0.2993129783757942,0.2993129783757942
application_type_New credit,-0.2966669862960351,0.2966669862960351
action::Created,-0.16141405791534288,0.16141405791534288
action::Deleted,0.166798253076776,0.166798253076776
action::Obtained,0.009201795308435063,0.009201795308435063
action::Released,0.1488245007388189,0.1488245007388189
action::statechange,-0.13695057041105663,0.13695057041105663
activity::A_Accepted,0.2654945339832343,0.2654945339832343
activity::A_Concept,0.27595424294017995,0.27595424294017995
activity::A_Create Application,0.0026459920797638737,0.0026459920797638737
activity::A_Submitted,-0.761705527032729,0.761705527032729
activity::O_Cancelled,0.27814400594424915,0.27814400594424915
activity::O_Create Offer,0.023508664128570517,0.023508664128570517
activity::O_Created,-0.15107069826370345,0.15107069826370345
activity::O_Sent (mail and online),-0.012612628203128832,0.012612628203128832
activity::O_Sent (online only),-0.03115449977907522,0.03115449977907522
activity::W_Assess potential fraud,-0.178209155480046,0.178209155480046
activity::W_Call after offers,-0.03459997201006297,0.03459997201006297
activity::W_Complete application,-0.04430001425176546,0.04430001425176546
activity::W_Handle leads,-0.05956532153088058,0.05956532153088058
activity::W_Shortened completion ,0.4539302982730528,0.4539302982730528
lifecycle::ate_abort,-0.03342088600279679,0.03342088600279679
lifecycle::complete,0.1963207041864409,0.1963207041864409
lifecycle::resume,-0.005971209141935641,0.005971209141935641
lifecycle::schedule,-0.1875687141236711,0.1875687141236711
lifecycle::start,0.015173004450359073,0.015173004450359073
lifecycle::suspend,0.1488245007388189,0.1488245007388189
lifecycle::withdraw,-0.1068974793094463,0.1068974793094463
origin::Application,-0.21761075802950403,0.21761075802950403
origin::Offer,0.10681484382690307,0.10681484382690307
origin::Workflow,0.1372558350002889,0.1372558350002889
resource::User_1,0.16315304459600025,0.16315304459600025
resource::User_10,0.011111932081504357,0.011111932081504357
resource::User_100,0.011965970328793402,0.011965970328793402
resource::User_101,-0.13632356344746313,0.13632356344746313
resource::User_102,0.47921969258624825,0.47921969258624825
resource::User_103,-0.2991502589016473,0.2991502589016473
resource::User_104,-0.009262984032354626,0.009262984032354626
resource::User_106,0.27893941637520203,0.27893941637520203
resource::User_107,0.3646890246720207,0.3646890246720207
resource::User_108,-0.008553816414653475,0.008553816414653475
resource::User_109,0.09167787243440219,0.09167787243440219
resource::User_11,0.013793616185705902,0.013793616185705902
resource::User_110,-0.05487154386823099,0.05487154386823099
resource::User_111,-0.40410687016037117,0.40410687016037117
resource::User_112,-0.10517075503550347,0.10517075503550347
resource::User_118,-0.08646362405091956,0.08646362405091956
resource::User_12,-7.41268555332378e-05,7.41268555332378e-05
resource::User_120,-0.2766362549799908,0.2766362549799908
resource::User_13,-0.014552119943505479,0.014552119943505479
resource::User_132,-0.11734074509725971,0.11734074509725971
resource::User_138,0.2207570591428577,0.2207570591428577
resource::User_14,0.0021139718693925376,0.0021139718693925376
resource::User_141,-0.08842332370742165,0.08842332370742165
resource::User_142,-0.26831473462360605,0.26831473462360605
resource::User_143,0.22730331837484175,0.22730331837484175
resource::User_144,0.11542212832077223,0.11542212832077223
resource::User_145,-0.1634561600463909,0.1634561600463909
resource::User_146,-0.18116863862318536,0.18116863862318536
resource::User_15,0.003995697331204954,0.003995697331204954
resource::User_16,-0.033251695461991956,0.033251695461991956
resource::User_17,-0.0026692564375432196,0.0026692564375432196
resource::User_18,-0.020674677412329555,0.020674677412329555
resource::User_19,0.014403602654740973,0.014403602654740973
resource::User_2,-0.02148696510841477,0.02148696510841477
resource::User_20,-0.01052818058097275,0.01052818058097275
resource::User_21,-0.009124679297080426,0.009124679297080426
resource::User_22,0.02136849615331955,0.02136849615331955
resource::User_23,-0.0014086897892516862,0.0014086897892516862
resource::User_24,-0.013311300227794644,0.013311300227794644
