feature,importance
requested_amount,0.11072810843898027
n_unique_activities,0.0035401408084063343
n_unique_resources,0.008621949240533937
prefix_duration_seconds,0.16854485754508206
mean_event_gap_seconds,0.16859836984966298
loan_goal_Boat,0.0019898803429813775
loan_goal_Business goal,0.00047684376486419847
loan_goal_Car,0.013648509214441686
loan_goal_Caravan / Camper,0.0029458284873515603
loan_goal_Debt restructuring,3.4513063972596114e-05
loan_goal_Existing loan takeover,0.011722036560683168
loan_goal_Extra spending limit,0.003971181881126655
loan_goal_Home improvement,0.012869592841321333
loan_goal_Motorcycle,0.002463314573726613
loan_goal_Not speficied,0.004708276821259426
"loan_goal_Other, see explanation",0.009550539756047166
loan_goal_Remaining debt home,0.004549093662655759
loan_goal_Tax payments,0.0016242645556965058
loan_goal_Unknown,0.003600750468991684
application_type_Limit raise,0.003753113679468558
application_type_New credit,0.004067326370127056
action::Created,0.0017440954456258608
action::Deleted,0.0010728780821781525
action::Obtained,0.0028563321644211764
action::Released,0.002242966225854813
action::statechange,0.0025357749323835846
activity::A_Accepted,0.0016746612633466557
activity::A_Concept,0.00017688580966594418
activity::A_Create Application,0.0
activity::A_Submitted,0.0033749910450205202
activity::O_Cancelled,0.00048728506113767935
activity::O_Create Offer,0.0026205929186850457
activity::O_Created,0.001624561626139617
activity::O_Sent (mail and online),0.002775953885690807
activity::O_Sent (online only),0.0011660490624971357
activity::W_Assess potential fraud,9.937663560431775e-05
activity::W_Call after offers,0.0006557575905980976
activity::W_Complete application,0.004243792927928188
activity::W_Handle leads,0.0051885718457433455
activity::W_Shortened completion ,0.00016438028523713585
lifecycle::ate_abort,0.0008904093145328592
lifecycle::complete,0.0041507507704368635
lifecycle::resume,0.001955797121322116
lifecycle::schedule,0.0014846008363079747
lifecycle::start,0.0022671255683058182
lifecycle::suspend,0.0023053443780379278
lifecycle::withdraw,0.0015694887684742202
origin::Application,0.001308068752981577
origin::Offer,0.00338042291853141
origin::Workflow,0.0032272551539071948
resource::User_1,0.005182832339458924
resource::User_10,0.009085581318630145
resource::User_100,5.6545418106342064e-05
resource::User_101,0.00010319223598771468
resource::User_102,8.185497594293373e-05
resource::User_103,0.0001282764028877073
resource::User_104,0.0038705000527685875
resource::User_106,8.501974193311384e-06
resource::User_107,1.1854091300033372e-05
resource::User_108,0.0016980386562240838
resource::User_109,0.00033518161874033635
resource::User_11,0.004621040983278354
resource::User_110,0.0003234880485903814
resource::User_111,5.983897075257108e-05
resource::User_112,3.231849614231678e-05
resource::User_118,9.106822966902001e-06
resource::User_12,0.005991194475922359
resource::User_120,1.3083434229945232e-06
resource::User_13,0.0052871627184455415
resource::User_132,0.0027395488615631408
resource::User_138,4.236022711681614e-05
resource::User_14,0.005828334084594128
resource::User_141,0.0005761765888002325
resource::User_142,7.36964409822346e-05
resource::User_143,3.47113016524686e-05
resource::User_144,4.3702371127842856e-05
resource::User_145,5.1444215084734625e-06
resource::User_146,4.6425709448730195e-05
resource::User_15,0.008239553430128043
resource::User_16,0.008089702296687958
resource::User_17,0.0068969838436679694
resource::User_18,0.008544697940257043
resource::User_19,0.0061545702144620955
resource::User_2,0.0065504151566814035
resource::User_20,0.0021848725302683904
resource::User_21,0.005142594334570565
resource::User_22,0.0026649207007784044
resource::User_23,0.004332190602931124
resource::User_24,0.006629221412656998
resource::User_25,0.003866646077605194
resource::User_26,0.004296630238011474
resource::User_27,0.005648886187474352
resource::User_28,0.007902588906378074
resource::User_29,0.00026961096026214377
resource::User_3,0.009707949174562028
resource::User_30,0.00015238908749355866
resource::User_31,0.003907610657695489
resource::User_32,0.005895354260639026
resource::User_33,0.0032492635664015416
resource::User_34,0.003043355120838508
resource::User_35,0.007822291424553967
resource::User_36,0.005278398086543988
resource::User_37,0.008275412954633033
resource::User_38,0.006294736485492388
resource::User_39,0.006895449941078345
resource::User_4,0.007400532532442779
resource::User_40,0.006727724790792573
resource::User_41,0.00697329968864417
resource::User_42,0.007941192135264223
resource::User_43,0.004724165113827
resource::User_44,0.004956000130241343
resource::User_45,0.004663121100190876
resource::User_46,0.008974144714769023
resource::User_47,0.002884008662187134
resource::User_48,0.007613063201057939
resource::User_49,0.011857095723676271
resource::User_5,0.008437279077444156
resource::User_50,0.0008412634785506948
resource::User_51,0.0062905454122069455
resource::User_52,0.006283952883183519
resource::User_53,0.006886268816345195
resource::User_54,0.003192391326590645
resource::User_55,0.003408607187980584
resource::User_56,0.0054768291028654695
resource::User_57,0.005184157985178812
resource::User_58,0.003367020656975505
resource::User_59,0.0021184528330752445
resource::User_6,0.0006679161767231554
resource::User_60,0.007538530885896682
resource::User_61,0.00805879307706142
resource::User_62,0.0018404203242330507
resource::User_63,0.0037390619426973274
resource::User_64,0.0006482383012849816
resource::User_65,0.0010824431002019704
resource::User_66,0.0023484615161312406
resource::User_67,0.00425069203209013
resource::User_68,0.00019579881406617575
resource::User_7,0.004936214304711222
resource::User_70,0.003473373785400386
resource::User_71,0.007727294829286348
resource::User_73,0.001980898766755996
resource::User_74,0.0030207804561002377
resource::User_75,0.00039222223248395213
resource::User_76,0.001176695164718233
resource::User_77,0.0020980067279134707
resource::User_78,0.0038914535214335712
resource::User_79,0.000515617571816476
resource::User_8,0.0010724952196436766
resource::User_80,0.0013550250771880593
resource::User_82,7.023987365741443e-05
resource::User_83,0.000128665587035276
resource::User_84,0.0012967081889417337
resource::User_85,0.003236904745047654
resource::User_86,0.001992784635002277
resource::User_87,0.00028763106603892335
resource::User_89,0.0006772022933106155
resource::User_9,0.001366302033598888
