sample_order,source_row_index,case_id,target,model_probability_success,reconstructed_probability_success,absolute_additivity_error
0,4219,Application_1716488937,1,0.6466666666666666,0.6466600014300845,6.6652365821040505e-06
1,4329,Application_1780975856,0,0.73,0.7299933394679361,6.660532063884617e-06
2,2704,Application_852082039,0,0.65,0.6499933352636099,6.664736390105119e-06
3,3737,Application_1039800233,0,0.59,0.5899933349930564,6.665006943573637e-06
4,2242,Application_933620779,1,0.8633333333333333,0.8633266762471148,6.65708621849781e-06
5,1572,Application_626689908,0,0.4166666666666667,0.41665999131506615,6.675351600538004e-06
6,5150,Application_319276505,1,0.61,0.6099933298236063,6.670176393663851e-06
7,699,Application_1523406683,1,0.5766666666666667,0.5766600028055944,6.663861072286892e-06
8,1306,Application_1606123452,1,0.2733333333333333,0.2733266547243748,6.67860895853245e-06
9,2342,Application_574810235,0,0.58,0.5799933357921548,6.664207845119563e-06
10,3819,Application_1371829661,1,0.67,0.6699933380213872,6.661978612876318e-06
11,5358,Application_1346722124,1,0.54,0.539993333822841,6.66617715905371e-06
12,835,Application_973075457,1,0.3433333333333333,0.34332666020881114,6.673124522182938e-06
13,1780,Application_1894052702,0,0.57,0.569993334913313,6.665086686896693e-06
14,4272,Application_368259393,0,0.6566666666666666,0.6566600036778042,6.6629888624269995e-06
15,3379,Application_1773249073,1,0.46,0.45999333161034395,6.6683896560726375e-06
16,5028,Application_1461654162,1,0.3,0.29999332365662895,6.6763433710370634e-06
17,254,Application_1213009008,1,0.82,0.8199933426216421,6.6573783578105505e-06
18,1748,Application_538169581,0,0.59,0.5899933337247764,6.666275223610185e-06
19,124,Application_173122257,0,0.4033333333333333,0.4033266586195786,6.674713754706296e-06
20,360,Application_1756698619,1,0.51,0.5099933291723746,6.670827625399056e-06
21,4837,Application_1737595763,1,0.4766666666666667,0.4766599986131299,6.668053536773577e-06
22,4385,Application_1131149871,0,0.7933333333333333,0.7933266767720808,6.656561252538218e-06
23,5121,Application_202743024,0,0.4533333333333333,0.4533266638393614,6.6694939719336155e-06
24,5723,Application_1986864007,1,0.67,0.6699933378089454,6.662191054607192e-06
25,3398,Application_295059389,0,0.18333333333333332,0.18332664954619998,6.683787133338059e-06
26,2768,Application_2025229391,1,0.6133333333333333,0.6133266703281086,6.663005224671892e-06
27,2163,Application_364222888,1,0.6033333333333334,0.6033266680786994,6.665254633997364e-06
28,818,Application_1650299745,0,0.68,0.6799933393763395,6.660623660503795e-06
29,4977,Application_683749311,1,0.58,0.5799933363375755,6.6636624244109655e-06
30,5564,Application_1170818565,0,0.44,0.43999332849604655,6.671503953448177e-06
31,3374,Application_345709580,0,0.42333333333333334,0.4233266562412345,6.677092098839044e-06
32,2884,Application_423354116,0,0.37666666666666665,0.3766599906837622,6.675982904436051e-06
33,123,Application_345753341,0,0.6966666666666667,0.6966600063059554,6.66036071128584e-06
34,654,Application_1339681597,1,0.23333333333333334,0.2333266556217239,6.677711609448522e-06
35,5518,Application_235120908,1,0.5133333333333333,0.5133266650286582,6.668304675105929e-06
36,2390,Application_1955841156,0,0.5433333333333333,0.5433266637107055,6.669622627852867e-06
