rank,feature,mean_abs_shap,share_of_total_importance
1,requested_amount,0.026641277307657044,0.095568839979502912
2,mean_event_gap_seconds,0.016407594915129203,0.058858094331753735
3,prefix_duration_seconds,0.01603838946529006,0.05753366321879444
4,resource::User_1,0.011546640943758882,0.041420652167368469
5,activity::A_Submitted,0.011405730546778816,0.040915171779738344
6,activity::W_Handle leads,0.010695407067504171,0.038367066066166897
7,n_unique_resources,0.0096147118801688664,0.034490345583422531
8,loan_goal_Home improvement,0.0088555491857776787,0.031767041545825686
9,loan_goal_Car,0.0077061173605816533,0.027643745770591414
10,application_type_New credit,0.0076144433572115245,0.027314888484313994
11,application_type_Limit raise,0.0070919891267770246,0.025440716155096941
12,origin::Offer,0.006176738731081528,0.022157486991671665
13,loan_goal_Existing loan takeover,0.0057244166838854305,0.020534896120802993
14,n_unique_activities,0.0048996607018640783,0.017576292764150785
15,lifecycle::complete,0.0047193079196489549,0.016929322801549879
16,activity::W_Complete application,0.0046304684868954159,0.016610633819987702
17,action::Obtained,0.0042126614549193716,0.015111856831177431
18,activity::O_Sent (mail and online),0.0041991174624026158,0.015063271185730717
19,lifecycle::withdraw,0.0041630026743660811,0.014933718523562928
20,loan_goal_Not speficied,0.0040965205370225577,0.014695230681110553
21,lifecycle::suspend,0.0038132596911099517,0.013679104083918462
22,action::Released,0.0035724271344315653,0.012815178236622987
23,lifecycle::resume,0.0034290269081484527,0.012300766216492991
24,"loan_goal_Other, see explanation",0.0033607769764446875,0.012055936859165801
25,action::Created,0.003220607880137942,0.011553115700093193
26,origin::Workflow,0.0030842122055356924,0.011063830736409703
27,activity::O_Create Offer,0.0029809146283122398,0.010693276820621997
28,loan_goal_Remaining debt home,0.002955997173341962,0.010603891757013709
29,lifecycle::start,0.0027264657320292076,0.0097805058010115697
30,lifecycle::schedule,0.0026130360673273061,0.0093736055856187793
31,activity::O_Created,0.0026112657052251445,0.0093672548596196691
32,resource::User_3,0.0026011294915737056,0.0093308937584132348
33,action::statechange,0.0023411194686788041,0.0083981736044899894
34,activity::A_Accepted,0.0020362656984402095,0.007304587856005372
35,resource::User_57,0.002017961535655771,0.0072389263044249598
36,resource::User_18,0.0020112187635055365,0.0072147383157935441
37,origin::Application,0.0019329807181358784,0.0069340791284769913
38,resource::User_10,0.0016614291508224533,0.0059599566048808335
39,resource::User_61,0.0016536905958775714,0.0059321964974858527
40,resource::User_49,0.0016164992048279222,0.005798781794474692
41,resource::User_41,0.0015297897636390662,0.0054877336185935686
42,resource::User_37,0.00149098554561484,0.0053485333069845913
43,loan_goal_Unknown,0.0013716012600422025,0.0049202723962106379
44,resource::User_46,0.001274045459835965,0.0045703156523460098
45,resource::User_12,0.0012713799135857554,0.0045607536797685529
46,resource::User_78,0.0012549992773151514,0.0045019922927513525
47,resource::User_26,0.0012371146386917773,0.0044378356779257852
48,resource::User_56,0.001179930591562461,0.004232702380960655
49,resource::User_67,0.0011489439844599926,0.004121545770056253
50,activity::W_Call after offers,0.0011312980590031615,0.0040582454783022444
51,resource::User_96,0.0010942061703849973,0.0039251877150820085
52,resource::User_5,0.0010625171863768391,0.0038115115047856547
53,resource::User_77,0.0010576164253420467,0.0037939312648555953
54,resource::User_24,0.001007889233768821,0.0036155475500205037
55,resource::User_2,0.00097949846566422038,0.0035137028545672595
56,resource::User_40,0.0009467160923658525,0.0033961043869067172
57,resource::User_51,0.00094374366668012607,0.003385441562019244
58,resource::User_16,0.00086073129778701119,0.0030876556973458038
59,resource::User_80,0.00085510817469569903,0.0030674841663530235
60,loan_goal_Extra spending limit,0.00083961243990775844,0.003011897139454434
61,resource::User_36,0.00083621953369458313,0.002999725947089749
62,resource::User_28,0.00082619952461370557,0.0029637817003712054
63,lifecycle::ate_abort,0.00081822290451454981,0.0029351675944846831
64,resource::User_63,0.00080521394991186666,0.0028885012621475653
65,resource::User_39,0.00079493731550578036,0.0028516364370214501
