case_id,model_probability_success,reconstructed_probability_success,absolute_error
Application_1716488937,0.6466666666666666,0.6466600014300845,6.6652365821040505e-06
Application_1780975856,0.73,0.7299933394679361,6.660532063884617e-06
Application_852082039,0.65,0.6499933352636099,6.664736390105119e-06
Application_1039800233,0.59,0.5899933349930564,6.665006943573637e-06
Application_933620779,0.8633333333333333,0.8633266762471148,6.65708621849781e-06
Application_626689908,0.4166666666666667,0.41665999131506615,6.675351600538004e-06
Application_319276505,0.61,0.6099933298236063,6.670176393663851e-06
Application_1523406683,0.5766666666666667,0.5766600028055944,6.663861072286892e-06
Application_1606123452,0.2733333333333333,0.2733266547243748,6.67860895853245e-06
Application_574810235,0.58,0.5799933357921548,6.664207845119563e-06
Application_1371829661,0.67,0.6699933380213872,6.661978612876318e-06
Application_1346722124,0.54,0.539993333822841,6.66617715905371e-06
Application_973075457,0.3433333333333333,0.34332666020881114,6.673124522182938e-06
Application_1894052702,0.57,0.569993334913313,6.665086686896693e-06
Application_368259393,0.6566666666666666,0.6566600036778042,6.6629888624269995e-06
Application_1773249073,0.46,0.45999333161034395,6.6683896560726375e-06
Application_1461654162,0.3,0.29999332365662895,6.6763433710370634e-06
Application_1213009008,0.82,0.8199933426216421,6.6573783578105505e-06
Application_538169581,0.59,0.5899933337247764,6.666275223610185e-06
Application_173122257,0.4033333333333333,0.4033266586195786,6.674713754706296e-06
Application_1756698619,0.51,0.5099933291723746,6.670827625399056e-06
Application_1737595763,0.4766666666666667,0.4766599986131299,6.668053536773577e-06
Application_1131149871,0.7933333333333333,0.7933266767720808,6.656561252538218e-06
Application_202743024,0.4533333333333333,0.4533266638393614,6.6694939719336155e-06
Application_1986864007,0.67,0.6699933378089454,6.662191054607192e-06
Application_295059389,0.18333333333333332,0.18332664954619998,6.683787133338059e-06
Application_2025229391,0.6133333333333333,0.6133266703281086,6.663005224671892e-06
Application_364222888,0.6033333333333334,0.6033266680786994,6.665254633997364e-06
Application_1650299745,0.68,0.6799933393763395,6.660623660503795e-06
Application_683749311,0.58,0.5799933363375755,6.6636624244109655e-06
Application_1170818565,0.44,0.43999332849604655,6.671503953448177e-06
Application_345709580,0.42333333333333334,0.4233266562412345,6.677092098839044e-06
