batch_number,batch_size,start_time,elapsed_seconds,seconds_per_case
0,50,2026-09-17T13:19:46.463321+00:00,229.16327620000084,4.583265524000017
1,50,2026-09-17T13:23:35.679275+00:00,254.92510780000157,5.098502156000031
2,50,2026-09-17T13:27:50.633752+00:00,242.65253210000083,4.853050642000016
3,50,2026-09-17T13:31:53.308234+00:00,245.05400189999636,4.901080037999927
4,50,2026-09-17T13:35:58.383652+00:00,234.36730830000306,4.6873461660000615
5,50,2026-09-17T13:39:52.773011+00:00,247.52622890000202,4.95052457800004
6,50,2026-09-17T13:44:00.328310+00:00,245.63430030000018,4.912686006000004
7,50,2026-09-17T13:48:05.988722+00:00,242.25150280000526,4.845030056000105
8,50,2026-09-17T13:52:08.265857+00:00,245.29523200000403,4.905904640000081
9,50,2026-09-17T13:56:13.586814+00:00,246.2594226000001,4.925188452000002
10,50,2026-09-17T14:00:19.875236+00:00,253.6441135999994,5.072882271999988
11,50,2026-09-17T14:04:33.545681+00:00,242.81324669999594,4.856264933999919
12,50,2026-09-17T14:08:36.384009+00:00,246.7336953999984,4.934673907999968
13,50,2026-09-17T14:12:43.148034+00:00,247.05982600000425,4.941196520000085
14,50,2026-09-17T14:16:50.299418+00:00,254.3802483000036,5.087604966000072
15,50,2026-09-17T15:08:35.179416+00:00,226.11912329999905,4.522382465999981
16,50,2026-09-17T15:12:21.329957+00:00,242.10186350000004,4.8420372700000005
17,50,2026-09-17T15:16:23.457104+00:00,241.672061199999,4.83344122399998
18,50,2026-09-17T15:20:25.158816+00:00,235.18859840000368,4.703771968000074
19,50,2026-09-17T15:24:20.368931+00:00,236.4221961000003,4.728443922000006
