sample_order,source_row_index,case_id,target
0,4219,Application_1716488937,1
1,4329,Application_1780975856,0
2,2704,Application_852082039,0
3,3737,Application_1039800233,0
4,2242,Application_933620779,1
5,1572,Application_626689908,0
6,5150,Application_319276505,1
7,699,Application_1523406683,1
8,1306,Application_1606123452,1
9,2342,Application_574810235,0
10,3819,Application_1371829661,1
11,5358,Application_1346722124,1
12,835,Application_973075457,1
13,1780,Application_1894052702,0
14,4272,Application_368259393,0
15,3379,Application_1773249073,1
16,5028,Application_1461654162,1
17,254,Application_1213009008,1
18,1748,Application_538169581,0
19,124,Application_173122257,0
20,360,Application_1756698619,1
21,4837,Application_1737595763,1
22,4385,Application_1131149871,0
23,5121,Application_202743024,0
24,5723,Application_1986864007,1
25,3398,Application_295059389,0
26,2768,Application_2025229391,1
27,2163,Application_364222888,1
28,818,Application_1650299745,0
29,4977,Application_683749311,1
30,5564,Application_1170818565,0
31,3374,Application_345709580,0
